college,topic,count,URL,TopicForAuthors,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
College of Education,writing evaluation,1,https:\/\/pages.charlotte.edu\/connections\/links\/writing-evaluation\/,writing evaluation,,,,,,
College of Education,adolescent literacy programs,1,https:\/\/pages.charlotte.edu\/connections\/links\/adolescent-literacy-programs\/,adolescent literacy programs,Jean Vintinner,https://pages.charlotte.edu/connections/people/jpvintin/,,,,
College of Education,literacy needs,1,https:\/\/pages.charlotte.edu\/connections\/links\/literacy-needs\/,literacy needs,Jean Vintinner,https://pages.charlotte.edu/connections/people/jpvintin/,,,,
College of Education,adult literacy programs,1,https:\/\/pages.charlotte.edu\/connections\/links\/adult-literacy-programs\/,adult literacy programs,Jean Vintinner,https://pages.charlotte.edu/connections/people/jpvintin/,,,,
College of Education,pre-service teachers design,1,https:\/\/pages.charlotte.edu\/connections\/links\/pre-service-teachers-design\/,pre-service teachers design,Andrew Polly,https://pages.charlotte.edu/connections/people/abpolly/,,,,
College of Education,learner-centered tasks,1,https:\/\/pages.charlotte.edu\/connections\/links\/learner-centered-tasks\/,learner-centered tasks,Andrew Polly,https://pages.charlotte.edu/connections/people/abpolly/,,,,
College of Education,african american men in elementary education,1,https:\/\/pages.charlotte.edu\/connections\/links\/african-american-men-in-elementary-education\/,african american men in elementary education,Stephen Hancock,https://pages.charlotte.edu/connections/people/sdhancoc/,,,,
College of Education,academic achievement for students of color,1,https:\/\/pages.charlotte.edu\/connections\/links\/academic-achievement-for-students-of-color\/,academic achievement for students of color,Kaja Dunn,https://pages.charlotte.edu/connections/people/kdunn32/,Stephen Hancock,https://pages.charlotte.edu/connections/people/sdhancoc/,,
College of Education,academic achievement,1,https:\/\/pages.charlotte.edu\/connections\/links\/academic-achievement\/,academic achievement,Victoria Rankin,https://pages.charlotte.edu/connections/people/vrankin1/,Stephen Hancock,https://pages.charlotte.edu/connections/people/sdhancoc/,Stephanie Moller,https://pages.charlotte.edu/connections/people/stephanie-moller/
College of Education,teaching for urban students,1,https:\/\/pages.charlotte.edu\/connections\/links\/teaching-for-urban-students\/,teaching for urban students,Stephen Hancock,https://pages.charlotte.edu/connections/people/sdhancoc/,,,,
